day_number,class_level,topic,q1_text,q1_a,q1_b,q1_c,q1_correct,q2_text,q2_a,q2_b,q2_c,q2_correct,q3_text,q3_a,q3_b,q3_c,q3_correct
17,11,Entropy: why time seems to have a direction,What is entropy a measure of in thermodynamics?,The degree of disorder or number of possible microstates in a system,The total amount of thermal energy stored in a system at absolute zero,The rate at which a system converts kinetic energy into potential energy,q1_a,Why does increasing entropy explain why time appears to move in one direction?,Entropy creates electrical gradients that drive molecular clocks in all organisms,"Entropy always increases spontaneously, so disordered states are overwhelmingly more probable than ordered ones","Entropy decreases in living systems, causing them to experience time backwards",q2_b,"If you watched a video of a glass shattering in reverse, why would it appear unnatural?","Glass pieces cannot move without external force, so the video must be manipulated","Sound waves from shattering would need to reverse direction, which is technically possible","The reverse video shows entropy decreasing, which never occurs spontaneously in isolated systems",q3_c
18,11,What actually happens during a chemical reaction?,What is activation energy in a chemical reaction?,The minimum energy required for reactant molecules to break old bonds and form new ones,The total energy released when all products are formed at the end of the reaction,The energy stored in the catalyst that is consumed during the reaction,q1_a,Why is understanding bond breaking and bond forming more useful than just knowing a reaction's equation?,Bond-level understanding removes the need for balanced chemical equations,"It reveals the cause-and-effect mechanism, allowing prediction of energy changes and reaction rates",Chemical equations are always incorrect and must be replaced by bond diagrams,q2_b,"If temperature is increased, what happens to the rate of most chemical reactions?",The rate decreases because higher temperature destabilises the transition state,The rate stays the same because reaction rate depends only on concentration,The rate increases because more molecules have enough energy to overcome activation energy,q3_c
19,11,Chemical equilibrium,What characterises a system that has reached chemical equilibrium?,"The forward and reverse reaction rates are equal, so net concentrations remain constant",All reactants have been completely converted into products and no reverse reaction occurs,The reaction has stopped entirely and no molecular collisions are taking place,q1_a,Why is Le Chatelier's principle more useful than just knowing equilibrium concentrations?,Le Chatelier's principle proves that equilibrium constants never change with temperature,It provides a cause-and-effect rule that predicts how equilibrium shifts when conditions change,Equilibrium concentrations are irrelevant; only reaction rates matter in industrial chemistry,q2_b,"If more product is added to a system at equilibrium, how does the equilibrium shift?",The equilibrium shifts toward more product to accommodate the addition,The equilibrium remains unchanged because product concentration does not affect balance,The equilibrium shifts toward reactants to reduce the excess product concentration,q3_c
20,11,Why pH matters to life,What does the pH scale measure in a solution?,"The concentration of hydrogen ions (H+), indicating acidity or alkalinity",The total number of dissolved molecules regardless of their charge,The temperature at which a solution transitions from acidic to neutral,q1_a,Why is maintaining pH within a narrow range more important to life than overall solute concentration?,Solute concentration has no effect on enzyme function or cellular processes,"pH directly affects enzyme shape and activity, so even small changes disrupt biological reactions","Narrow pH ranges prevent oxygen from dissolving in blood, which is essential for life",q2_b,"If blood pH dropped from 7.4 to 6.9, what would most likely happen to enzyme activity?",Enzyme activity would increase because acidic conditions accelerate protein folding,Enzyme activity would remain the same since enzymes are resistant to pH changes,Enzyme activity would be severely disrupted because altered H+ concentration denatures enzyme structure,q3_c
21,11,The architecture of the living cell,What is the primary function of the cell membrane?,Selectively permeable barrier that controls what enters and exits the cell,Rigid wall that provides mechanical support and prevents all molecular exchange,Site of protein synthesis where ribosomes translate genetic information,q1_a,Why is understanding organelle specialisation more useful than simply listing their names?,Organelle names are universal identifiers that require no functional understanding,Specialisation reveals the cause-and-effect link between structure and cell function,"Organelles all perform identical functions, so only quantity matters for cell health",q2_b,"If a cell's mitochondria were removed, what would happen to its energy production?",Energy production would increase because the cell would switch to a more efficient pathway,Energy production would be unaffected since mitochondria are not involved in ATP synthesis,Energy production would drop drastically because mitochondria are the main site of aerobic ATP synthesis,q3_c
22,11,How enzymes accelerate life,How do enzymes speed up biochemical reactions?,By lowering the activation energy needed for the reaction to proceed,By providing additional energy from their own molecular bonds to drive reactions,By permanently bonding to substrates and preventing their reverse conversion,q1_a,Why is understanding the enzyme-substrate specificity model more useful than knowing reaction rates?,Specificity models predict reaction rates without requiring any experimental data,It explains the cause-and-effect mechanism that predicts which reactions enzymes will catalyse,Reaction rates are always identical for all enzymes regardless of substrate type,q2_b,"If an enzyme is heated above its optimal temperature, what happens to its catalytic activity?",Activity increases permanently because high temperature increases molecular kinetic energy,Activity remains stable as enzymes are made of heat-resistant inorganic minerals,"Activity drops sharply because heat denatures the enzyme's shape, preventing substrate binding",q3_c
23,11,Cellular respiration,What is the overall equation for aerobic cellular respiration?,"Glucose + oxygen produces carbon dioxide, water, and ATP energy",Carbon dioxide + water produce glucose and oxygen using ATP energy,Glucose + nitrogen produces ammonia and water releasing chemical energy,q1_a,Why is understanding the three stages of aerobic respiration more useful than just knowing ATP is produced?,Knowing ATP quantity allows prediction of which stage generates the most heat,Understanding stages reveals the cause-and-effect mechanism that predicts efficiency and byproducts,"The three stages produce identical ATP amounts, so distinguishing them has no practical value",q2_b,"If oxygen supply to a muscle cell is cut off, what pathway does the cell switch to?",The cell switches to photosynthesis to produce its own glucose and oxygen,The cell continues aerobic respiration at a reduced rate using stored oxygen,"The cell switches to anaerobic respiration (lactic acid fermentation), producing far less ATP",q3_c
24,11,Photosynthesis: how plants capture sunlight,In which two main stages does photosynthesis occur?,Light-dependent reactions in the thylakoid and the Calvin cycle in the stroma,Glycolysis in the cytoplasm and the Krebs cycle in the mitochondria,Chemiosmosis in the vacuole and enzyme activation in the cell wall,q1_a,Why is understanding the light and dark reactions separately more useful than simply saying plants use sunlight?,Separating the reactions proves that plants cannot survive without continuous daylight,It reveals how light energy is converted to chemical energy in each distinct stage,"Both stages are identical in function, so separating them has no scientific benefit",q2_b,"If carbon dioxide concentration around a plant is doubled, what would likely happen to the rate of photosynthesis?",Photosynthesis would stop because excess CO2 blocks the light-dependent reactions,Photosynthesis rate would be unaffected since CO2 plays no role in the Calvin cycle,Photosynthesis rate would increase because CO2 is a key Calvin cycle substrate,q3_c
25,11,How neurons communicate,What is an action potential in a neuron?,A rapid reversal of membrane voltage caused by ion flow that propagates along the axon,A steady chemical gradient maintained by the neuron to attract neurotransmitters,A physical contraction of the axon that pushes electrical signals toward the synapse,q1_a,Why is understanding the action potential mechanism more useful than simply knowing neurons carry electrical signals?,Electrical signal description tells us how to chemically block nerve transmission,The mechanism reveals ion channel dynamics and predicts how drugs or toxins affect nerve function,Knowing neurons carry signals is sufficient information to design all neurological treatments,q2_b,"If a drug blocked sodium ion channels in a neuron's membrane, what would happen?",Action potentials would become stronger because potassium would compensate for sodium,Signal transmission would be unaffected as sodium is not involved in action potentials,"Action potentials would fail to generate, blocking signal transmission along the neuron",q3_c
26,11,The human brain as an information-processing system,Which brain structure is primarily responsible for higher-order functions such as reasoning and language?,"The cerebral cortex, the outer layer of the brain involved in cognition and decision-making","The cerebellum, which coordinates balance and fine voluntary movements","The medulla oblongata, which controls automatic functions like breathing and heartbeat",q1_a,Why is understanding neural network plasticity more useful than memorising brain anatomy?,Brain anatomy diagrams fully predict all cognitive outcomes without understanding plasticity,"Plasticity reveals the mechanism by which learning reshapes neural connections, enabling prediction of skill acquisition","Plasticity only applies to the spinal cord, not to higher brain functions like memory",q2_b,"If the corpus callosum connecting the brain's two hemispheres were severed, what would result?",No change would occur because each hemisphere independently processes all information,The brain would increase in overall processing speed due to reduced inter-hemisphere interference,"The two hemispheres would lose the ability to share information, causing split-brain effects in perception",q3_c
27,11,How genes encode biological information,How is genetic information stored in DNA?,"In sequences of nitrogenous base pairs (adenine, thymine, guanine, cytosine) that code for amino acids","In the length of the sugar-phosphate backbone, which varies between genes","In the physical shape of the double helix, which changes to encode different proteins",q1_a,Why is understanding the genetic code more useful than simply knowing that DNA contains genes?,The genetic code proves that all organisms share identical genes without any variation,It reveals the cause-and-effect mechanism from nucleotide sequence to protein structure to biological function,Knowing genes exist is sufficient to predict all evolutionary and developmental outcomes,q2_b,"If a single base in a codon is mutated to a different base, what may happen to the resulting protein?",The protein will be unaffected because single-base mutations never change amino acid sequence,The entire genome is destroyed and the cell dies immediately after any mutation,"The codon may code for a different amino acid, altering the protein's structure and function",q3_c
28,11,Evolution and the origin of biodiversity,What is natural selection in evolutionary biology?,The process by which organisms with heritable advantageous traits survive and reproduce more successfully,The deliberate breeding of organisms by humans to enhance desirable characteristics,The random mutation of genes that always leads to improved survival for the organism,q1_a,Why is understanding the mechanism of natural selection more useful than simply listing species that evolved?,Listing species is sufficient to predict which organisms will survive future climate change,The mechanism reveals why variation and selection pressures cause populations to change predictably over time,"Natural selection is identical to genetic drift, so understanding one replaces understanding the other",q2_b,"If a new antibiotic is introduced and some bacteria already carry a resistance gene, what would evolution predict?",All bacteria would develop resistance simultaneously through coordinated genetic response,"The bacteria would evolve away from the affected region, avoiding the antibiotic entirely","Resistant bacteria would survive and reproduce, causing the population to become predominantly resistant",q3_c
29,11,What makes Earth suitable for life?,Which combination of factors makes Earth uniquely suitable for life as we know it?,"Liquid water, moderate temperature, protective atmosphere, and magnetic field shielding radiation","Proximity to the Sun, high volcanic activity, and absence of a moon causing constant tides","Pure oxygen atmosphere, uniform surface temperature, and absence of tectonic plate movement",q1_a,Why is understanding Earth's habitability factors more useful than just saying 'Earth has the right conditions'?,A vague description accurately predicts all exoplanet habitability without further analysis,It identifies specific cause-and-effect mechanisms that can be used to assess habitability of other planets,Habitability factors are unique to Earth and cannot be compared to any other planetary body,q2_b,"If Earth lost its magnetic field, what would be the most significant long-term effect on surface life?","Tectonic activity would cease, cooling the mantle and freezing the oceans within decades",Photosynthesis would double in efficiency because solar radiation would reach plants more directly,"Solar wind would strip away the atmosphere, increasing harmful radiation exposure and eroding habitability",q3_c
30,11,Research Challenge: Explain one major unanswered scientific question,Which of the following is a major genuinely unanswered question in modern science?,The nature of dark matter and dark energy dominating the universe's mass-energy content,"Why does the Sun rise in the east, which scientists have not yet explained through observation?","How does photosynthesis convert light into glucose, which remains completely unknown to biologists?",q1_a,Why is framing a research question around a mechanism more useful than simply identifying an unknown fact?,Mechanism-based questions eliminate the need for experimental evidence in scientific research,A mechanistic question identifies cause-and-effect relationships that guide productive investigation and testable hypotheses,Unknown facts are more prestigious than mechanism questions in published scientific literature,q2_b,"If a scientist proposes that dark matter consists of a new particle, what would the next scientific step be?",Immediately accept the hypothesis because it is proposed by a credentialed scientist,Reject the hypothesis because all subatomic particles were discovered in the 20th century,Design experiments that could detect the proposed particle or rule out its properties through observation,q3_c
1,12,What is electric charge?,What is electric charge?,A fundamental property of matter that causes electromagnetic force,The flow of electrons through a conductor under voltage,The energy stored in a magnetic field around a wire,q1_a,Why is identifying the mechanism behind electric charge useful?,It helps memorise the SI unit of charge (coulomb) faster,It reveals the cause-and-effect chain and enables prediction,It allows students to skip mathematical derivations entirely,q2_b,"If you doubled the electric charge on two nearby particles, what happens to the force between them?",The force doubles because charge and force are always proportional,The force halves because the field lines spread over a larger area,The force quadruples because Coulomb's law depends on the product of charges,q3_c
2,12,How electric fields actually work,What does an electric field represent around a charged object?,The region where another charge would experience an electric force,The path that electrons physically travel between two terminals,The potential energy stored inside the charged object itself,q1_a,Why is understanding the electric field mechanism more useful than memorising field values?,Mechanism values are always simpler to calculate than field formulas,Knowing the mechanism lets you predict field behaviour in new geometries,Memorising values is unnecessary once the unit of field (V/m) is known,q2_b,"If you moved a test charge twice as far from a point charge, what would happen to the electric field strength?",It would halve because the field is inversely proportional to distance,It would remain the same because field lines are infinite in extent,It would decrease to one-quarter because field strength falls as 1/r squared,q3_c
3,12,Electric potential and energy,What does electric potential at a point in space represent?,Work done per unit charge to bring a positive charge from infinity to that point,The total charge accumulated on a conductor at that location,The magnetic flux linking a current loop near that point,q1_a,Why does understanding potential as a mechanism help more than memorising its formula?,The formula V = kQ/r is too complex for Class 12 students to apply,Mechanism understanding lets you predict energy changes when charge moves,Memorising the formula automatically gives the correct sign of potential,q2_b,"If the distance from a positive charge doubles, what happens to electric potential there?",It doubles because potential and distance are directly proportional,It stays constant because potential depends only on the source charge,It halves because electric potential is inversely proportional to distance,q3_c
4,12,Why capacitors store energy,How does a capacitor store energy?,By accumulating opposite charges on two separated conducting plates,By converting electrical energy into chemical energy in a dielectric,By producing a magnetic field between its two terminals,q1_a,Why is knowing the charge-separation mechanism in a capacitor useful?,It makes it easier to remember the formula C = Q/V without derivation,It explains why capacitance changes when a dielectric is inserted,It proves that capacitors and batteries are interchangeable in circuits,q2_b,"If a dielectric material is inserted between the plates of a charged capacitor, what changes?",The charge on the plates increases because the dielectric adds free electrons,The voltage across the plates increases to maintain the same stored charge,The capacitance increases because the dielectric reduces the effective electric field,q3_c
5,12,How circuits really behave,What do Kirchhoff's laws describe about circuit behaviour?,Conservation of charge at junctions and conservation of energy around loops,The relationship between magnetic flux and induced current in a loop,How resistance changes with temperature in metallic conductors,q1_a,Why is understanding circuit mechanisms better than memorising Ohm's law alone?,"Ohm's law is only valid for AC circuits, not for DC circuits",Mechanism understanding lets you analyse complex multi-loop circuits correctly,Memorising Ohm's law is sufficient for all Class 12 circuit problems,q2_b,"If you add a resistor in parallel to an existing resistor in a circuit, what happens to total resistance?",Total resistance increases because more components are added to the circuit,Total resistance remains unchanged because parallel paths do not interact,Total resistance decreases because additional current paths reduce overall opposition,q3_c
6,12,Why AC electricity is used in power grids,Why is alternating current preferred for long-distance power transmission?,"AC voltage can be stepped up by transformers, reducing transmission-line losses",AC electrons travel faster than DC electrons through copper wires,AC current never experiences resistance unlike DC current in cables,q1_a,Why is understanding the transformer mechanism important for AC grids?,It proves that DC power lines are physically impossible to construct,It explains how voltage is raised and lowered efficiently across the grid,It shows that AC frequency must always equal 50 Hz worldwide,q2_b,"If the transmission voltage is doubled, what happens to power lost as heat in the cables?",Power loss doubles because higher voltage forces more current through the cable,Power loss stays the same because resistance of cables does not change with voltage,Power loss falls to one-quarter because loss is proportional to current squared,q3_c
7,12,Electromagnetism: electricity creating magnetism,What does a current-carrying conductor produce around itself?,A magnetic field whose strength depends on the current and wire geometry,An electric field that repels nearby positive charges uniformly,A gravitational field proportional to the mass of moving electrons,q1_a,Why is the concept of magnetic field as a mechanism more useful than just knowing the right-hand rule?,"The right-hand rule is only applicable to solenoids, not straight wires",Understanding the mechanism lets you predict field direction for any current shape,Knowing the rule is sufficient; mechanisms are not tested in Class 12,q2_b,"If the current through a solenoid is doubled, what happens to the magnetic field inside?",The field halves because more current causes electrons to cancel each other,The field remains constant because it depends only on the number of turns,The field doubles because magnetic field in a solenoid is directly proportional to current,q3_c
8,12,How electric motors work,What is the principle behind an electric motor converting electrical to mechanical energy?,A current-carrying coil in a magnetic field experiences a torque that makes it rotate,Resistance heating in the coil causes it to expand and drive a shaft,Changing voltage in the coil creates pressure that pushes the rotor outward,q1_a,Why does understanding the force-on-current mechanism matter in motor design?,It proves motors only work with DC and never with AC supply,It allows engineers to predict torque and improve motor efficiency,It shows that the commutator is unnecessary in all modern motors,q2_b,"If the magnetic field strength inside a motor is doubled, what happens to the torque?",Torque halves because a stronger field opposes the coil's rotation,"Torque remains unchanged because torque depends only on current, not field",Torque doubles because the force on a current-carrying conductor is proportional to field strength,q3_c
9,12,How generators work,What is the core principle by which a generator produces electricity?,"A rotating coil in a magnetic field experiences changing flux, inducing an EMF",Chemical reactions in the coil convert heat directly into electrical current,Friction between the rotor and stator strips electrons from the conductor,q1_a,Why is Faraday's law of induction the key mechanism for generators?,"It states that voltage equals current divided by time, simplifying generator design",It quantifies how changing magnetic flux through a coil produces EMF,It proves that AC generators always produce exactly 220 V output,q2_b,"If a generator's coil spins twice as fast, what happens to the induced EMF?",EMF halves because faster rotation reduces the time flux is changing,EMF stays the same because the magnetic field inside the generator is fixed,EMF doubles because the rate of change of magnetic flux increases with speed,q3_c
10,12,Maxwell's great unification,What did Maxwell's equations unify into a single framework?,Electricity and magnetism as two aspects of one electromagnetic interaction,Gravity and nuclear forces into a single field equation,Thermodynamics and electrostatics into a combined energy principle,q1_a,Why was Maxwell's prediction of electromagnetic waves a landmark in physics?,"It replaced Newton's laws, making mechanics obsolete for all purposes",It showed that changing fields can propagate through space without a medium,It proved that light travels at different speeds in different reference frames,q2_b,"If Maxwell had found that electromagnetic waves needed a medium to travel, what would follow?",Radio signals would travel faster in vacuum than in glass fibres,Television would work better in air than in underground cables,Light could not travel through the vacuum of space to reach Earth from the Sun,q3_c
11,12,How electromagnetic waves travel through space,How do electromagnetic waves propagate through empty space?,Oscillating electric and magnetic fields mutually regenerate each other as they travel,A medium of aether carries the oscillations from one point to another,Photon particles push against the vacuum to create a pressure wave,q1_a,Why is the mutual induction mechanism between E and B fields important?,It shows why EM waves travel faster in water than in air,It explains how EM waves can carry energy across a perfect vacuum,It proves that EM waves must always travel at the speed of sound,q2_b,"If the frequency of an electromagnetic wave is doubled, what happens to its wavelength?",Wavelength doubles because frequency and wavelength always increase together,Wavelength stays the same because both are fixed properties of the wave type,Wavelength halves because speed equals frequency times wavelength and speed is constant,q3_c
12,12,"How radio, Wi-Fi and mobile signals work",How is information carried by a radio wave?,By modulating the amplitude or frequency of a carrier electromagnetic wave,By sending pulses of visible light coded as binary through the air,By physically vibrating air molecules at the transmission frequency,q1_a,Why does understanding modulation explain why AM and FM radio sound different?,"FM modulates amplitude while AM modulates frequency, causing different volumes",AM varies amplitude and picks up more electrical noise; FM varies frequency and is clearer,Both AM and FM use the same modulation but differ only in transmission power,q2_b,"If a Wi-Fi router switches from 2.4 GHz to 5 GHz, what changes about the signal?",The signal travels farther because higher frequency waves have more energy,The signal strength stays the same because routers regulate power automatically,The signal has shorter range but higher data capacity due to the higher frequency,q3_c
13,12,How lenses form images,How does a convex lens form a real image of a distant object?,It refracts parallel light rays so they converge at the focal point,It reflects incoming light inward using a curved mirrored surface,It absorbs light from the object and re-emits it at a focused spot,q1_a,Why does understanding refraction as a mechanism explain lens power?,It shows that lens colour determines whether the image is real or virtual,It explains why a more curved lens bends light more and has shorter focal length,"It proves that only glass lenses can form images, not plastic ones",q2_b,"If an object moves closer to a convex lens than its focal length, what type of image forms?","A real, inverted, magnified image on the opposite side of the lens",No image forms because light rays become parallel when they leave the lens,"A virtual, upright, magnified image on the same side as the object",q3_c
14,12,How optical fibres transmit information,What physical principle keeps light inside an optical fibre?,Total internal reflection at the core-cladding boundary when angle exceeds critical angle,Magnetic fields in the cladding repel photons back toward the fibre centre,Absorption of light by the cladding forces energy back into the core,q1_a,Why is total internal reflection a better mechanism than simple reflection for fibres?,"It allows fibres to work only with infrared, excluding visible light entirely",It traps nearly 100% of light with no silvered coating needed on the core,It works only when the fibre is completely straight with no bends at all,q2_b,"If the refractive index difference between core and cladding is reduced, what happens?",Light travels faster in the core and the signal arrives earlier at the receiver,The fibre becomes more flexible because a smaller index difference reduces stress,"The critical angle increases, making total internal reflection harder and causing more light loss",q3_c
15,12,Why light behaves like a wave and a particle,Which experiment demonstrates the wave nature of light?,Young's double-slit experiment showing interference fringes on a screen,The photoelectric effect showing light ejects electrons from a metal,Compton scattering showing photons transfer momentum to electrons,q1_a,Why does the photoelectric effect prove light's particle nature?,It shows light waves can be reflected and refracted by metallic surfaces,"It shows that ejection depends on frequency not intensity, requiring discrete photons",It demonstrates that light travels at exactly 3 x 10^8 m/s in all materials,q2_b,"If the frequency of light shining on a metal is below the threshold, what happens?",Electrons are slowly ejected over time as energy accumulates from the wave,Electrons gain kinetic energy proportional to light intensity but are not ejected,No electrons are ejected regardless of intensity because photon energy is too low,q3_c
16,12,The strange world of quantum mechanics,What does quantum mechanics state about the behaviour of particles at atomic scales?,Particles exist as probability waves; their exact state is indeterminate until measured,Particles follow precise trajectories that can be calculated using Newton's laws,Particles always exist at rest inside atoms unless external energy is added,q1_a,Why does the concept of wave functions help predict quantum outcomes?,"Wave functions give exact positions of electrons, making experiments easier","Wave functions give probability distributions, letting us predict measurement outcomes statistically","Wave functions apply only to photons, not to massive particles like electrons",q2_b,"If you observe an electron's position precisely in a quantum system, what is the consequence?",Its energy becomes perfectly defined because position and energy are linked,Its colour changes because observation alters the electromagnetic state of the electron,Its momentum becomes highly uncertain because of the Heisenberg uncertainty principle,q3_c
17,12,What does the uncertainty principle actually mean?,What does Heisenberg's uncertainty principle state?,"Precisely knowing position makes momentum fundamentally unknowable, and vice versa",Scientific instruments always introduce measurement errors due to friction,Electrons cannot be detected because they are too small for any device to measure,q1_a,"Why is the uncertainty principle a fundamental feature of nature, not just a measurement limitation?",It arises because quantum particles are too fast for modern instruments to track,"It reflects an intrinsic property of wave-like particles, not a limitation of instruments",It applies only at room temperature and disappears when particles are cooled,q2_b,"If Planck's constant were much smaller, what would happen to quantum uncertainty effects?","Uncertainty effects would grow larger, making everyday objects behave quantum mechanically",The uncertainty principle would apply only to photons and not to electrons,Quantum uncertainty effects would become negligible and the quantum world would resemble classical physics,q3_c
18,12,How atoms produce spectral lines,Why do atoms emit light only at specific wavelengths?,"Electrons jump between fixed energy levels, releasing photons of precise energies",Atoms vibrate at natural frequencies that heat the surrounding air into glow,The nucleus emits gamma rays that are filtered into visible wavelengths by electrons,q1_a,Why does hydrogen's emission spectrum prove that electron energy levels are quantised?,"Hydrogen emits white light when heated, confirming a continuous energy spectrum",The discrete spectral lines match calculated energy differences between specific electron orbits,"Hydrogen's spectrum changes with temperature, disproving fixed energy levels entirely",q2_b,"If an atom absorbs a photon with energy exactly equal to the gap between two levels, what happens?",The photon is reflected because the atom cannot accept energy from outside,"The photon splits into two smaller photons, each exciting a separate electron","The electron jumps to the higher energy level, producing an absorption line in the spectrum",q3_c
19,12,Nuclear energy: what happens inside the nucleus?,Why does nuclear fission release enormous amounts of energy?,Splitting a heavy nucleus releases binding energy as products have less mass than the original,Electrons are stripped from atoms and their electrical energy is converted to heat,Chemical bonds in uranium molecules break and release stored chemical energy,q1_a,Why is binding energy per nucleon important for understanding nuclear stability?,Higher binding energy per nucleon means the nucleus is less stable and decays faster,Higher binding energy per nucleon means more energy is needed to pull the nucleus apart,It determines the maximum atomic mass of any stable element in the periodic table,q2_b,"If uranium-235 absorbs a neutron and undergoes fission, what is released?","Two protons and an alpha particle, which then decay slowly into lead isotopes",Only gamma radiation and no additional particles that could trigger further fissions,"Two or three neutrons that can trigger further fissions, enabling a chain reaction",q3_c
20,12,How nuclear reactors work,What is the role of a moderator in a nuclear reactor?,It slows fast neutrons to thermal energies so they can trigger further fissions,It absorbs all neutrons to prevent the chain reaction from going critical,It converts the heat from fission directly into electrical current,q1_a,Why are control rods essential for safe reactor operation?,They generate additional neutrons to boost power output when demand increases,They absorb excess neutrons to regulate the fission rate and prevent runaway reactions,They reflect neutrons back into the fuel to increase the efficiency of the moderator,q2_b,"If control rods are fully inserted into a reactor core, what happens to the chain reaction?",The reaction accelerates because the rods reflect more neutrons back into the fuel,The reaction rate stays the same because fuel quantity is the only controlling factor,The chain reaction slows and stops because the rods absorb most of the available neutrons,q3_c
21,12,Semiconductor physics,What distinguishes a semiconductor from a conductor and an insulator?,Its conductivity lies between conductors and insulators and increases with temperature,It conducts electricity only in one direction like a one-way valve,It stores charge like a capacitor and releases it in bursts of current,q1_a,Why does doping a semiconductor with pentavalent atoms create an n-type material?,Pentavalent atoms have fewer electrons than silicon and create positive holes,"Pentavalent atoms introduce an extra electron not needed for covalent bonds, adding free carriers","Pentavalent dopants attract electrons from neighbouring atoms, removing free carriers",q2_b,"If temperature of an intrinsic semiconductor is increased, what happens to its conductivity?",Conductivity decreases because heat causes lattice vibrations that block electron flow,Conductivity stays constant because intrinsic carriers are fixed by the crystal structure,Conductivity increases because more electron-hole pairs are thermally generated across the band gap,q3_c
22,12,How a transistor works,What is the fundamental function of a transistor in electronic circuits?,To amplify or switch signals; a small base current controls a much larger collector current,To store electrical charge and release it slowly through a load resistor,To convert AC signals into DC by allowing current in only one direction,q1_a,Why does a small base current control a much larger collector current in a BJT?,The collector is made of superconducting material that amplifies any incoming signal,The base current injects minority carriers that dramatically widen the depletion region,"Minority carriers injected at the thin base diffuse to the collector, controlling the larger current flow",q2_c,"If the base of an NPN transistor receives no current, what happens to the collector circuit?",Maximum collector current flows because the base-emitter junction becomes forward biased,The collector current reverses direction and flows from emitter to collector,The transistor is cut off and virtually no current flows through the collector circuit,q3_c
23,12,How computer chips are made,What process is used to create transistor patterns on silicon wafers?,Photolithography uses light through a mask to etch circuit patterns into the silicon,Laser engraving directly burns transistor channels into the silicon surface,Chemical deposition grows transistor structures by adding layers of pure metal,q1_a,Why does reducing transistor size to nanometres improve chip performance?,"Smaller transistors need higher voltage to switch, producing faster signals",Larger transistors are physically stronger and resist heat damage better,"Smaller transistors switch faster, consume less power, and allow more per chip",q2_c,"If a chip manufacturer reduces transistor size below about 5 nm, what new challenge appears?",Transistors become too large to fit in the available silicon area of the wafer,Electron mobility drops to zero and the chip becomes a perfect insulator,"Quantum tunnelling causes electrons to leak through barriers, causing current leakage",q3_c
24,12,How solar cells convert light into electricity,What is the photovoltaic effect that makes solar cells work?,"Photons excite electrons across the p-n junction band gap, generating a current","Sunlight heats the silicon, which then produces current by the thermoelectric effect","Photons ionise gas inside the cell, which then conducts electricity to the circuit",q1_a,Why is the p-n junction essential to producing a useful current in a solar cell?,It blocks all current flow unless sunlight heats the junction above 100 degrees Celsius,The built-in electric field at the junction separates electron-hole pairs before they recombine,It converts photon wavelengths into electrons whose energy matches the load resistance,q2_b,"If photons with energy lower than the band gap of silicon strike a solar cell, what happens?",They generate twice as many electron-hole pairs through a two-photon absorption process,They are reflected off the anti-reflective coating and never enter the silicon material,They pass through without generating electron-hole pairs and contribute no electrical output,q3_c
25,12,Relativity: why time slows down,What does Einstein's special relativity say about time for a moving observer?,Time passes more slowly for an observer moving at high speed relative to a stationary one,Time passes more quickly for a moving observer because energy accelerates clocks,Time is unaffected by motion and always passes at the same rate for everyone,q1_a,Why does understanding time dilation as a mechanism matter for GPS satellites?,GPS satellites move too slowly for relativity to have any measurable effect on them,GPS clocks must be corrected for relativistic time dilation to give accurate positions,Time dilation in GPS is corrected by adjusting the satellite's orbital altitude only,q2_b,"If a spacecraft travels at 99% of the speed of light for one year by onboard clock, how long passes on Earth?",Exactly one year passes on Earth because both frames measure the same elapsed time,Less than one year passes on Earth because the spacecraft's high energy compresses time,Many more than one year passes on Earth because of relativistic time dilation,q3_c
26,12,Black holes and event horizons,What defines the event horizon of a black hole?,The boundary beyond which escape velocity exceeds the speed of light,The surface of the neutron star before it collapses into a singularity,The region where the black hole's magnetic field deflects all incoming matter,q1_a,Why can nothing escape from inside a black hole's event horizon?,The temperature inside the event horizon is too high for matter to remain intact,Matter inside is magnetised and attracted to the singularity by electromagnetic force,Even light cannot travel fast enough to overcome the extreme gravitational curvature of spacetime,q2_c,"If a black hole's mass doubled, what would happen to its Schwarzschild radius (event horizon size)?",The radius would quadruple because gravitational strength scales with the square of mass,The radius would stay the same because event horizon size depends only on density,The radius would double because Schwarzschild radius is directly proportional to mass,q3_c
27,12,How scientists detect gravitational waves,What instrument is used to detect gravitational waves?,A laser interferometer such as LIGO that measures tiny changes in arm length,A radio telescope array that captures the sound emitted by merging black holes,A network of seismometers on Earth's surface recording spacetime vibrations,q1_a,Why must LIGO's arms be kilometres long to detect gravitational waves?,Longer arms allow the laser to build up enough energy to split the spacetime wave,"Gravitational wave stretching is proportional to arm length, making longer arms more sensitive",Shorter arms would cause the laser beams to interfere before reaching the detector,q2_b,"If two merging black holes are twice as massive, what happens to the gravitational wave signal?",The signal frequency doubles because heavier objects orbit each other more slowly,The signal is undetectable because more massive black holes produce no gravitational radiation,The signal is stronger and at lower frequency because more massive systems orbit more slowly and radiate more power,q3_c
